Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0283551818727832,-0.163593352692708,0.604651524742163,0,0,0,13.7978335986456,2.05225494254393,3.95018474521908E-15,-1.13106383657229E-14,2.66607594418707,1.81233452687195E-16,0.618067837050997,0,0,0,0,0,0,package://autonomous_rack/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://autonomous_rack/meshes/base_link.STL,,Assem1^autonomous_rack-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rack_stand_1,-2.22044604925031E-16,0.682342364190991,0,0,0,0,1.44871592519749,0.305869206680859,5.75858512719993E-19,0,0.00020650148348817,-1.29325382436079E-18,0.305869206680859,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_1.STL,1,1,1,1,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_1.STL,,rack_stand_1-1,Origin_rack_stand_1_to_base_joint,Axis_rack_stand_1_to_base_joint,rack_stand_1_to_base_joint,fixed,0.32998,-1.1952,0,1.5708,0,-1.1519,base_link,0,0,0,,,,,,,,,,,,
nexel_caster_1,0.0314549773354729,-0.0306422571362855,-2.27592054574677E-06,0,0,0,0.411737105837065,0.000384329414026956,-2.11065237743716E-05,-1.9060988646627E-08,0.000604837875870231,-1.16731299818925E-09,0.000713554064857435,0,0,0,0,0,0,package://autonomous_rack/meshes/nexel_caster_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autonomous_rack/meshes/nexel_caster_1.STL,,NEXEL CASTER WITH BRAKE #CA5SB-01-6,Origin_nexel_caster_1_to_rack_stand_1_joint,Axis_nexel_caster_1_to_rack_stand_1_joint,nexel_caster_1_to_rack_stand_1_joint,continuous,0,-0.14364,0,3.1416,0.40878,3.1416,rack_stand_1,0,1,0,,,,,,,,,,,,
castor_wheel_1,-2.22044604925031E-16,-5.55111512312578E-16,-0.000536000000000092,0,0,0,0.119371011378909,9.45988903260966E-05,-1.52465930505774E-20,-7.57035696608531E-20,9.45988903260966E-05,1.86141649472976E-10,0.000176538333074071,0,0,0,0,0,0,package://autonomous_rack/meshes/castor_wheel_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://autonomous_rack/meshes/castor_wheel_1.STL,,castor_wheel-2,Origin_castor_wheel_1_to_caster_1_joint,Axis_castor_wheel_1_to_caster_1_joint,castor_wheel_1_to_caster_1_joint,continuous,0.04445,-0.088333,0,0,0,3.0394,nexel_caster_1,0,0,1,,,,,,,,,,,,
rack_stand_2,-2.77555756156289E-17,0.682342364190991,-2.22044604925031E-16,0,0,0,1.44871592519749,0.30586920668086,4.44396479526312E-20,0,0.00020650148348817,-2.13958651209916E-18,0.30586920668086,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_2.STL,1,1,1,1,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_2.STL,,rack_stand_1-2,Origin_rack_stand_2_to_base_link_joint,Axis_rack_stand_2_to_base_link_joint,rack_stand_2_to_base_link_joint,fixed,-0.27327,-1.1952,0,1.5708,0,-0.10359,base_link,0,0,0,,,,,,,,,,,,
nexel_caster_2,0.0314550082774141,-0.0306422056271559,-2.63705390268765E-06,0,0,0,0.411738114482682,0.000384328587877873,-2.11067516574389E-05,-2.00252862546743E-08,0.000604837449919106,-5.70516543734492E-09,0.000713554347767741,0,0,0,0,0,0,package://autonomous_rack/meshes/nexel_caster_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autonomous_rack/meshes/nexel_caster_2.STL,,NEXEL CASTER WITH BRAKE #CA5SB-01-7,Origin_nexel_caster_2_to_rack_stand_2_joint,Axis_nexel_caster_2_to_rack_stand_2_joint,nexel_caster_2_to_rack_stand_2_joint,continuous,0,-0.14364,0,3.1416,1.2878,3.1416,rack_stand_2,0,1,0,,,,,,,,,,,,
castor_wheel_2,-2.77555756156289E-17,2.22044604925031E-16,-0.000535999999999093,0,0,0,0.119371011378906,9.45988903260962E-05,-2.13875819181711E-20,-1.46219062519774E-19,9.45988903260961E-05,1.86141649941967E-10,0.000176538333074068,0,0,0,0,0,0,package://autonomous_rack/meshes/castor_wheel_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://autonomous_rack/meshes/castor_wheel_2.STL,,castor_wheel-3,Origin_castor_wheel_2_to_caster_2,Axis_castor_wheel_2_to_caster_2,castor_wheel_2_to_caster_2,continuous,0.04445,-0.088333,0,-3.1416,0,1.5967,nexel_caster_2,0,0,1,,,,,,,,,,,,
rack_stand_3,0,0.682342364190994,0,0,0,0,1.44871592519749,0.305869206680859,4.08148082288781E-19,0,0.00020650148348817,1.72188175178241E-18,0.305869206680859,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_3.STL,1,1,1,1,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_3.STL,,rack_stand_1-3,Origin_rack_stand_3_to_base_link_joint,Axis_rack_stand_3_to_base_link_joint,rack_stand_3_to_base_link_joint,fixed,-0.27327,-0.014141,0,1.5708,0,0.41076,base_link,0,0,0,,,,,,,,,,,,
nexel_caster_3,0.0314549614350568,-0.0306423040329691,-2.10967674299511E-06,0,0,0,0.411736765759532,0.000384330197465719,-2.11064868410831E-05,-1.86033617807568E-08,0.000604838139638155,7.78676043202279E-10,0.00071355426078701,0,0,0,0,0,0,package://autonomous_rack/meshes/nexel_caster_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://autonomous_rack/meshes/nexel_caster_3.STL,,NEXEL CASTER WITH BRAKE #CA5SB-01-9,Origin_nexel_caster_3_to_rack_stand_3_joint,Axis_nexel_caster_3_to_rack_stand_3_joint,nexel_caster_3_to_rack_stand_3_joint,continuous,0,-0.14364,0,3.1416,-0.58528,3.1416,rack_stand_3,0,1,0,,,,,,,,,,,,
castor_wheel_3,-0.0444499999999999,-0.0383333105686588,-0.00146400000000019,0,0,0,0.119371011378908,9.45988903260979E-05,-1.54112795406579E-20,-1.25360876193636E-19,9.45988903260978E-05,1.86141649381109E-10,0.000176538333074071,0,0,0,0,0,0,package://autonomous_rack/meshes/castor_wheel_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://autonomous_rack/meshes/castor_wheel_3.STL,,castor_wheel-5,Origin_castor_wheel_3_to_caster_3,Axis_castor_wheel_3_to_caster_3,castor_wheel_3_to_caster_3,continuous,0,-0.05,0,3.1416,0,3.1416,nexel_caster_3,0,0,1,,,,,,,,,,,,
rack_stand_4,1.38777878078145E-17,0.68234236419099,-5.55111512312578E-17,0,0,0,1.44871592519749,0.305869206680859,-4.17872967188734E-19,0,0.00020650148348817,3.51891075947068E-18,0.305869206680859,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_4.STL,1,1,1,1,0,0,0,0,0,0,package://autonomous_rack/meshes/rack_stand_4.STL,,rack_stand_1-4,Origin_rack_stand_4_to_base_link_joint,Axis_rack_stand_4_to_base_link_joint,rack_stand_4_to_base_link_joint,fixed,0.32998,-0.014141,0,1.5708,0,1.739,base_link,0,0,0,,,,,,,,,,,,
